                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0111,                 3.3947,                 3.9177,                0.16766,                0.39855,                0.12045,                0.05088,                 2.5122,                 6.4149,                 3.8978,             0.00066219,             0.00066219,             0.00066219
                      2,                 2.4216,                  3.052,                 3.0374,                0.06163,                0.23623,                0.03553,                 0.0113,                 2.1648,                 3.5848,                  3.088,              0.0013223,              0.0013223,              0.0013223
                      3,                 2.0941,                 2.6444,                 2.6303,                0.26195,                0.33043,                0.15676,                0.06621,                 2.0116,                   2.84,                 2.8974,              0.0019758,              0.0019758,              0.0019758
                      4,                  1.892,                 2.2749,                 2.3888,                  0.525,                0.36812,                0.37631,                0.19668,                 1.9064,                 2.6745,                 2.6859,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.7057,                 2.0781,                 2.1957,                0.59051,                 0.3511,                0.42494,                0.26789,                 1.8215,                  2.256,                 2.5404,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.6044,                 1.9307,                 2.0795,                0.61862,                0.39494,                0.44498,                0.28931,                 1.7769,                 2.6683,                 2.5678,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.5076,                 1.8141,                 1.9828,                0.60764,                0.43767,                0.47659,                0.31304,                 1.6355,                 2.1539,                 2.3298,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.4709,                 1.7981,                 1.9377,                0.62573,                0.41014,                0.48337,                0.30168,                 1.5828,                 2.0536,                 2.2553,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.4012,                 1.7057,                  1.888,                0.73288,                0.44136,                0.54139,                0.36041,                 1.5143,                 1.8523,                 2.2001,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.3895,                 1.6769,                 1.8536,                0.70081,                0.46957,                0.55231,                0.36539,                  1.512,                 1.8551,                 2.2001,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.3007,                 1.5647,                  1.781,                0.72807,                0.45011,                0.55453,                 0.3704,                 1.5218,                 1.7506,                 2.1697,              0.0019109,              0.0019109,              0.0019109
